symbol,name,industry,ISIN_code
ERIS,Eris Lifesciences Ltd.,PHARMA,INE406M01024
EROSMEDIA,Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,INE416L01017
ESCORTS,Escorts Ltd.,AUTOMOBILE,INE042A01014
EVEREADY,Eveready Industries India Ltd.,CONSUMER GOODS,INE128A01029
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,INE302A01020
FCONSUMER,Future Consumer Ltd.,CONSUMER GOODS,INE220J01025
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,INE171A01029
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,INE235A01022
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,INE183A01016
FLFL,Future Lifestyle Fashions Ltd.,CONSUMER GOODS,INE452O01016
FRETAIL,Future Retail Ltd.,CONSUMER GOODS,INE752P01024
FSL,Firstsource Solutions Ltd.,IT,INE684F01012
GAIL,GAIL (India) Ltd.,ENERGY,INE129A01019
GATI,Gati Ltd.,SERVICES,INE152B01027
GDL,Gateway Distriparks Ltd.,SERVICES,INE852F01015
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,INE878A01011
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,INE017A01032
GET&D,GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,INE200A01026
GHCL,GHCL Ltd.,CHEMICALS,INE539A01019
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,INE481Y01014
GILLETTE,Gillette India Ltd.,CONSUMER GOODS,INE322A01010
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,INE131A01031
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,INE776C01039
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,INE113A01013
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,INE260B01028
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS,INE850D01014
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,INE102D01028
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,INE233A01035
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,INE484J01027
GPPL,Gujarat Pipavav Port Ltd.,SERVICES,INE517F01014
GRANULES,Granules India Ltd.,PHARMA,INE101D01020
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,INE371A01025
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,INE047A01021
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,INE224A01026
GREENPLY,Greenply Industries Ltd.,CONSUMER GOODS,INE461C01038
GRUH,Gruh Finance Ltd.,FINANCIAL SERVICES,INE580B01029
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,INE026A01025
GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,INE264A01014
GSPL,Gujarat State Petronet Ltd.,ENERGY,INE246F01010
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,INE186A01019
GUJFLUORO,Gujarat Fluorochemicals Ltd.,INDUSTRIAL MANUFACTURING,INE538A01037
GUJGASLTD,Gujarat Gas Ltd.,ENERGY,INE844O01022
GULFOILLUB,Gulf Oil Lubricants India Ltd.,ENERGY,INE635Q01029
GVKPIL,GVK Power & Infrastructures Ltd.,CONSTRUCTION,INE251H01024
HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,INE982F01036
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS,INE473B01035
HAVELLS,Havells India Ltd.,CONSUMER GOODS,INE176B01034
HCC,Hindustan Construction Co. Ltd.,CONSTRUCTION,INE549A01026
HCL-INSYS,HCL Infosystems Ltd.,IT,INE236A01020
HCLTECH,HCL Technologies Ltd.,IT,INE860A01027
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,INE001A01036
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,INE040A01026
HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,INE191I01012
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,INE545A01016
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,INE578A01017
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS,INE978A01027
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,INE158A01026
HEXAWARE,Hexaware Technologies Ltd.,IT,INE093A01033
HFCL,Himachal Fut Com Ltd.,TELECOM,INE548A01028
HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILES,INE049A01027
HINDALCO,Hindalco Industries Ltd.,METALS,INE038A01020
HINDCOPPER,Hindustan Copper Ltd.,METALS,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,METALS,INE267A01025
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,INE671A01010
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS,INE019C01026
HSIL,HSIL Ltd.,CONSUMER GOODS,INE415A01038
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,INE031A01017
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,INE069I01010
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,INE148I01020
IBVENTURES,Indiabulls Ventures Ltd.,FINANCIAL SERVICES,INE274G01010
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,INE726G01019
ICIL,Indo Count Industries Ltd.,TEXTILES,INE483B01026
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,INE008A01015
IDEA,Idea Cellular Ltd.,TELECOM,INE669E01016
IDFC,IDFC Ltd.,FINANCIAL SERVICES,INE043D01016
IDFCBANK,IDFC Bank Ltd.,FINANCIAL SERVICES,INE092T01019
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,INE022Q01012
IFBIND,IFB Industries Ltd.,CONSUMER GOODS,INE559A01017
IFCI,IFCI Ltd.,FINANCIAL SERVICES,INE039A01010
IGL,Indraprastha Gas Ltd.,ENERGY,INE203G01027
IIFL,IIFL Holdings Ltd.,FINANCIAL SERVICES,INE530B01024
IL&FSTRANS,IL&FS Transportation Networks Ltd.,CONSTRUCTION,INE975G01012
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,INE053A01029
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INE383A01012
INDIANB,Indian Bank,FINANCIAL SERVICES,INE562A01011
INDIGO,InterGlobe Aviation Ltd.,SERVICES,INE646L01027
INDOCO,Indoco Remedies Ltd.,PHARMA,INE873D01024
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,INE095A01012
INFIBEAM,Infibeam Incorporation Ltd.,IT,INE483S01020
INFRATEL,Bharti Infratel Ltd.,TELECOM,INE121J01017
INFY,Infosys Ltd.,IT,INE009A01021
INOXLEISUR,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INE312H01016
INOXWIND,Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INE066P01011
INTELLECT,Intellect Design Arena Ltd.,IT,INE306R01017
IOB,Indian Overseas Bank ,FINANCIAL SERVICES,INE565A01014
IOC,Indian Oil Corporation Ltd.,ENERGY,INE242A01010
IPCALAB,Ipca Laboratories Ltd.,PHARMA,INE571A01020
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION,INE821I01014
ITC,I T C Ltd.,CONSUMER GOODS,INE154A01025
ITDC,India Tourism Development Corporation Ltd.,SERVICES,INE353K01014
ITDCEM,ITD Cementation India Ltd.,CONSTRUCTION,INE686A01026
ITI,ITI Ltd.,TELECOM,INE248A01017
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,INE168A01041
JAGRAN,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,INE199G01027
JAICORPLTD,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,INE070D01027
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,INE572A01028
JBFIND,JBF Industries Ltd.,TEXTILES,INE187A01017
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,INE782A01015
JETAIRWAYS,Jet Airways (India) Ltd.,SERVICES,INE802G01018
JINDALPOLY,Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,INE197D01010
JINDALSAW,Jindal Saw Ltd.,METALS,INE324A01024
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,INE749A01030
JISLJALEQS,Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,INE175A01038
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE823G01014
JKIL,J.Kumar Infraprojects Ltd.,CONSTRUCTION,INE576I01022
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE786A01032
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE,INE573A01042
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,INE780C01023
JPASSOCIAT,Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,INE455F01025
JPPOWER,Jaiprakash Power Ventures Ltd.,ENERGY,INE351F01018
JSL,Jindal Stainless Ltd.,METALS,INE220G01021
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS,INE455T01018
JSWENERGY,JSW Energy Ltd.,ENERGY,INE121E01018
JSWSTEEL,JSW Steel Ltd.,METALS,INE019A01038
JUBILANT,Jubilant Life Sciences Ltd.,PHARMA,INE700A01033
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,INE797F01012
JUSTDIAL,Justdial Ltd.,IT,INE599M01018
JYOTHYLAB,Jyothy Laboratories Ltd.,CONSUMER GOODS,INE668F01031
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,INE217B01036
KALPATPOWR,Kalpataru Power Transmission Ltd.,ENERGY,INE220B01022
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS,INE531A01024
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,INE036D01028
KEC,Kec International Ltd.,CONSTRUCTION,INE389H01022
KESORAMIND,Kesoram Industries Ltd.,CEMENT & CEMENT PRODUCTS,INE087A01019
KIOCL,KIOCL Ltd.,METALS,INE880L01014
KITEX,Kitex Garments Ltd.,TEXTILES,INE602G01020
KNRCON,KNR Constructions Ltd.,CONSTRUCTION,INE634I01029
KOLTEPATIL,Kolte-Patil Developers Ltd.,CONSTRUCTION,INE094I01018
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,INE237A01028
KPIT,KPIT Technologies Ltd.,IT,INE836A01035
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,INE930H01023
KRBL,KRBL Ltd.,CONSUMER GOODS,INE001B01026
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS,INE455I01029
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES,INE614B01018
KWALITY,Kwality Ltd.,CONSUMER GOODS,INE775B01025
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,INE498L01015
LAKSHVILAS,Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,INE694C01018
